attendance_id,enrollment_id,attendance_date,status,notes
26674,1,2026-01-19,Present,
26675,1,2026-01-20,Absent,
138867,2790,2026-01-21,Present,
26714,2,2026-01-19,Present,
26715,2,2026-01-20,Present,
26773,3,2026-01-19,Present,
26774,3,2026-01-20,Present,
26804,4,2026-01-19,Absent,
26805,4,2026-01-20,Absent,
26839,5,2026-01-19,Present,
26840,5,2026-01-20,Present,Strategy put.
26874,6,2026-01-19,Present,
26875,6,2026-01-20,Present,
26919,7,2026-01-19,Present,Fish money compare.
26920,7,2026-01-20,Excused,
26971,8,2026-01-19,Absent,
26972,8,2026-01-20,Present,
27001,9,2026-01-19,Present,
27002,9,2026-01-20,Present,
27048,10,2026-01-19,Present,
27049,10,2026-01-20,Present,
27087,11,2026-01-19,Present,
27088,11,2026-01-20,Present,Floor majority real.
27124,12,2026-01-19,Present,
27125,12,2026-01-20,Present,
27174,13,2026-01-19,Absent,
27175,13,2026-01-20,Present,
27224,14,2026-01-19,Present,
27225,14,2026-01-20,Absent,Child ball attack.
27284,15,2026-01-19,Excused,
27285,15,2026-01-20,Present,
27306,16,2026-01-19,Present,
27307,16,2026-01-20,Present,
27360,17,2026-01-19,Present,
27361,17,2026-01-20,Present,
27405,18,2026-01-19,Present,Page.
27406,18,2026-01-20,Present,
27437,19,2026-01-19,Present,Senior sometimes.
27438,19,2026-01-20,Absent,
27477,20,2026-01-19,Present,Election design democratic different.
27478,20,2026-01-20,Present,
27507,21,2026-01-19,Present,
27508,21,2026-01-20,Present,
27534,22,2026-01-19,Present,Behind name within.
27535,22,2026-01-20,Present,
27563,23,2026-01-19,Present,
27564,23,2026-01-20,Present,
27587,24,2026-01-19,Present,Life able.
27588,24,2026-01-20,Present,
27610,25,2026-01-19,Present,
27611,25,2026-01-20,Absent,
27663,26,2026-01-19,Present,
27664,26,2026-01-20,Late,
27717,27,2026-01-19,Present,
27718,27,2026-01-20,Absent,
27747,28,2026-01-19,Present,
27748,28,2026-01-20,Absent,
27781,29,2026-01-19,Present,
27782,29,2026-01-20,Present,
27802,30,2026-01-19,Absent,
27803,30,2026-01-20,Present,
27827,31,2026-01-19,Present,
27828,31,2026-01-20,Absent,
27875,32,2026-01-19,Present,
27876,32,2026-01-20,Present,
27909,33,2026-01-19,Present,
27910,33,2026-01-20,Present,
27951,34,2026-01-19,Present,
27952,34,2026-01-20,Absent,
27999,35,2026-01-19,Present,
28000,35,2026-01-20,Present,
28028,36,2026-01-19,Absent,
28029,36,2026-01-20,Present,
28069,37,2026-01-19,Absent,While foreign source.
28070,37,2026-01-20,Present,
28126,38,2026-01-19,Present,
28127,38,2026-01-20,Present,Often policy with.
28175,39,2026-01-19,Present,
28176,39,2026-01-20,Present,
28216,40,2026-01-19,Present,
28217,40,2026-01-20,Present,
28265,41,2026-01-19,Present,
28266,41,2026-01-20,Absent,
28296,42,2026-01-19,Present,
28297,42,2026-01-20,Present,
28333,43,2026-01-19,Present,
28334,43,2026-01-20,Late,
28393,44,2026-01-19,Present,
28394,44,2026-01-20,Present,
28452,45,2026-01-19,Present,
28453,45,2026-01-20,Present,
28481,46,2026-01-19,Present,
28482,46,2026-01-20,Present,
28534,47,2026-01-19,Present,
28535,47,2026-01-20,Present,
28594,48,2026-01-19,Late,
28595,48,2026-01-20,Present,Perhaps take.
28642,49,2026-01-19,Present,
28643,49,2026-01-20,Present,
28686,50,2026-01-19,Present,Trial series their new.
28687,50,2026-01-20,Absent,
28743,51,2026-01-19,Present,
28744,51,2026-01-20,Late,
28780,52,2026-01-19,Present,
28781,52,2026-01-20,Present,
28812,53,2026-01-19,Present,
28813,53,2026-01-20,Present,
28857,54,2026-01-19,Late,
28858,54,2026-01-20,Present,
28896,55,2026-01-19,Present,
28897,55,2026-01-20,Absent,
28951,56,2026-01-19,Present,
28952,56,2026-01-20,Present,
28972,57,2026-01-19,Present,
28973,57,2026-01-20,Present,Maybe eight.
29027,58,2026-01-19,Present,
29028,58,2026-01-20,Late,
29078,59,2026-01-19,Absent,
29079,59,2026-01-20,Present,Into might.
29111,60,2026-01-19,Present,
29112,60,2026-01-20,Present,
29170,61,2026-01-19,Present,
29171,61,2026-01-20,Present,
29222,62,2026-01-19,Present,
29223,62,2026-01-20,Present,
29245,63,2026-01-19,Present,Gun around.
29246,63,2026-01-20,Present,
29299,64,2026-01-19,Present,
29300,64,2026-01-20,Present,
29359,65,2026-01-19,Absent,
29360,65,2026-01-20,Present,
29398,66,2026-01-19,Present,
29399,66,2026-01-20,Absent,
29420,67,2026-01-19,Present,
29421,67,2026-01-20,Present,
29478,68,2026-01-19,Present,
29479,68,2026-01-20,Present,
29504,69,2026-01-19,Late,
29505,69,2026-01-20,Present,Condition resource.
29546,70,2026-01-19,Present,
29547,70,2026-01-20,Present,
29601,71,2026-01-19,Present,
29602,71,2026-01-20,Present,
29633,72,2026-01-19,Present,
29634,72,2026-01-20,Absent,
29671,73,2026-01-19,Present,
29672,73,2026-01-20,Excused,
29694,74,2026-01-19,Absent,
29695,74,2026-01-20,Present,
29741,75,2026-01-19,Present,
29742,75,2026-01-20,Present,
29776,76,2026-01-19,Present,
29777,76,2026-01-20,Absent,
29810,77,2026-01-19,Present,
29811,77,2026-01-20,Present,
29869,78,2026-01-19,Present,
29870,78,2026-01-20,Present,
29905,79,2026-01-19,Present,Do college front she.
29906,79,2026-01-20,Present,
29943,80,2026-01-19,Absent,
29944,80,2026-01-20,Present,
29987,81,2026-01-19,Present,
29988,81,2026-01-20,Present,Less start drive.
30031,82,2026-01-19,Present,
30032,82,2026-01-20,Excused,
30062,83,2026-01-19,Present,
30063,83,2026-01-20,Present,
30095,84,2026-01-19,Present,Do they involve wrong.
30096,84,2026-01-20,Absent,
30116,85,2026-01-19,Present,
30117,85,2026-01-20,Present,
30176,86,2026-01-19,Present,
30177,86,2026-01-20,Present,Establish.
30216,87,2026-01-19,Late,Me evidence both.
30217,87,2026-01-20,Absent,
30272,88,2026-01-19,Present,
30273,88,2026-01-20,Present,
30332,89,2026-01-19,Present,
30333,89,2026-01-20,Present,
30370,90,2026-01-19,Present,
30371,90,2026-01-20,Present,
